factor,target,group,mean,median,std,count,win_rate,monotonic,spread
close,ret_5,Q2,0.006421295092721436,-0.00222345816339135,0.0834858460576547,21280,0.47288533834586466,True,0.009799449391836327
close,ret_5,Q3,0.004699868477655329,-0.0030759769136152002,0.08735606221057397,21274,0.46963429538403684,True,0.009799449391836327
close,ret_5,Q4,0.003584924589301217,-0.0049140049140049,0.09045371315261756,21289,0.45995584574193243,True,0.009799449391836327
close,ret_5,Q5,-0.00027280982303344966,-0.0070156502968161,0.09625558227252809,21287,0.4523418048574247,True,0.009799449391836327
close,ret_10,Q1,0.012541609186228505,0.0,0.10934657993125518,21243,0.49936449654003673,True,0.008669596076396387
close,ret_10,Q2,0.009966199170557678,0.0012547051442912,0.11192389900241895,21205,0.5040792265975006,True,0.008669596076396387
close,ret_10,Q3,0.009172572219019477,0.0,0.11582340395284249,21214,0.4993871971339681,True,0.008669596076396387
close,ret_10,Q4,0.007266507671570635,-0.0016977928692699,0.11705783306385098,21215,0.4881923167570115,True,0.008669596076396387
close,ret_10,Q5,0.0038720131098321188,-0.0067067530064754,0.12879528950448038,21213,0.47004195540470467,True,0.008669596076396387
close,ret_20,Q1,0.02827123773545846,0.0082394952658544,0.16056966737090086,21066,0.5304756479635432,True,0.021226154356344028
close,ret_20,Q2,0.025187785381017787,0.0082872928176795,0.1697373408079503,21049,0.5338495890541118,True,0.021226154356344028
close,ret_20,Q3,0.020795381892885857,0.0057933232253987,0.15642101361799016,21068,0.5210271501803684,True,0.021226154356344028
close,ret_20,Q4,0.0161224732728098,0.00071330305102405,0.16383067516430636,21048,0.5024705435195743,True,0.021226154356344028
close,ret_20,Q5,0.007045083379114431,-0.0101999999999999,0.1712105572122075,21043,0.46984745521075894,True,0.021226154356344028
close_pos,hold_ret,Q1,0.008051042123257225,-0.015544041450777177,0.13450515724977175,21284,0.3537398985153167,False,0.012843131714250874
close_pos,hold_ret,Q2,0.0045594289345520424,-0.018248175182481792,0.12022878913622938,21281,0.3459423899252855,False,0.012843131714250874
