dsa_confirmed_pos_max,dsa_trade_width_pct_max,bars_since_dir_change_max,w_dsa_signed_vwap_dev_min,weekly_mode,weekly_prev_down_range,trigger_type,n,ret_20,mae_20,wr_20,rr_20,quality_score,rank_score
0.38,0.35,12,-1.6,strict,none,expand_or_break,22,0.05051,-0.03741,0.8182,1.35,0.6142,196.247
0.38,0.35,12,-1.0,strict,none,expand_or_break,22,0.05051,-0.03741,0.8182,1.35,0.6142,196.247
0.38,0.35,6,-1.6,soft,none,expand_or_break,22,0.05137,-0.03824,0.8182,1.343,0.6191,195.273
0.38,0.35,6,-1.0,soft,none,expand_or_break,22,0.05137,-0.03824,0.8182,1.343,0.6191,195.273
0.38,0.35,9,-2.3,soft,none,expand_or_break,24,0.04797,-0.03631,0.7917,1.321,0.6163,192.116
0.38,0.35,12,-2.3,soft,none,expand_or_break,24,0.04797,-0.03631,0.7917,1.321,0.6163,192.116
0.38,0.35,6,-1.6,strict,none,expand_or_break,21,0.05146,-0.0391,0.8095,1.316,0.6168,191.371
0.38,0.35,6,-1.0,strict,none,expand_or_break,21,0.05146,-0.0391,0.8095,1.316,0.6168,191.371
0.3,0.35,6,-2.3,soft,none,expand_or_break,14,0.05483,-0.04166,0.8571,1.316,0.6183,191.308
0.3,0.35,6,-2.3,strict,none,expand_or_break,14,0.05483,-0.04166,0.8571,1.316,0.6183,191.308
0.3,0.35,9,-2.3,soft,none,expand_or_break,14,0.05483,-0.04166,0.8571,1.316,0.6183,191.308
0.3,0.35,9,-2.3,strict,none,expand_or_break,14,0.05483,-0.04166,0.8571,1.316,0.6183,191.308
0.3,0.35,12,-2.3,soft,none,expand_or_break,14,0.05483,-0.04166,0.8571,1.316,0.6183,191.308
0.3,0.35,12,-2.3,strict,none,expand_or_break,14,0.05483,-0.04166,0.8571,1.316,0.6183,191.308
0.38,0.35,9,-2.3,strict,none,expand_or_break,23,0.04791,-0.03701,0.7826,1.294,0.6141,188.212
0.38,0.35,12,-2.3,strict,none,expand_or_break,23,0.04791,-0.03701,0.7826,1.294,0.6141,188.212
