feature,gain,gain_pct,split,split_pct,scene
score_candle_total,563.1832455129828,0.5227506817862071,96.1,6.078431372549019,sceneD_T1_cls
dist_to_rope_atr,502.6658701479435,0.4665780248685275,41.8,2.643896268184693,sceneD_T1_cls
body_to_range,395.1440260652031,0.366775486797698,107.9,6.824794433902594,sceneD_T1_cls
high_break_flag,40.98702301979065,0.03804444538911377,3.5,0.2213788741302973,sceneD_T1_cls
bull_pct,22.04646584391594,0.0204636859187561,5.3,0.33523086654016443,sceneD_T1_cls
n_high_levels_broken,21.770552521944047,0.02020758121691376,2.7,0.17077798861480076,sceneD_T1_cls
delta_pct,2.985352969169617,0.0027710257938948564,0.9,0.056925996204933584,sceneD_T1_cls
breakout_watch_flag,0.9041270017623901,0.0008392170938290339,0.3,0.018975332068311195,sceneD_T1_cls
rope_dir,0.0,0.0,0.0,0.0,sceneD_T1_cls
score_freshness_total,0.0,0.0,0.0,0.0,sceneD_T1_cls
